instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
77,18-03-2011,spring,2011,mar,0,friday,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239
667,28-10-2012,winter,2012,oct,0,sunday,0,2,0.4775,0.467771,0.694583,0.398008,998,3461,4459
442,17-03-2012,spring,2012,mar,0,saturday,0,2,0.514167,0.505046,0.755833,0.110704,3155,4681,7836
140,20-05-2011,summer,2011,may,0,friday,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917
651,12-10-2012,winter,2012,oct,0,friday,1,1,0.4375,0.433071,0.539167,0.235092,1060,6222,7282
572,25-07-2012,fall,2012,july,0,wednesday,1,1,0.724167,0.654054,0.45,0.1648,1383,6790,8173
119,29-04-2011,summer,2011,april,0,friday,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595
662,23-10-2012,winter,2012,oct,0,tuesday,1,1,0.544167,0.530304,0.641667,0.0945458,841,6625,7466
427,02-03-2012,spring,2012,mar,0,friday,1,2,0.353333,0.359842,0.657083,0.144904,246,2948,3194
35,04-02-2011,spring,2011,feb,0,friday,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708
202,21-07-2011,fall,2011,july,0,thursday,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784
524,07-06-2012,summer,2012,june,0,thursday,1,1,0.6025,0.569442,0.567083,0.15735,1038,6456,7494
725,25-12-2012,spring,2012,dec,1,tuesday,0,2,0.291304,0.294465,0.734783,0.168726,440,573,1013
680,10-11-2012,winter,2012,nov,0,saturday,0,1,0.389167,0.393937,0.645417,0.0578458,2090,4446,6536
556,09-07-2012,fall,2012,july,0,monday,1,2,0.710833,0.654054,0.683333,0.180975,998,5571,6569
120,30-04-2011,summer,2011,april,0,saturday,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312
83,24-03-2011,summer,2011,mar,0,thursday,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865
335,01-12-2011,winter,2011,dec,0,thursday,1,1,0.3125,0.305554,0.524583,0.220158,182,3545,3727
376,11-01-2012,spring,2012,Jan,0,wednesday,1,2,0.274167,0.282821,0.8475,0.131221,92,2085,2177
182,01-07-2011,fall,2011,july,0,friday,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362
108,18-04-2011,summer,2011,april,0,monday,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429
18,18-01-2011,spring,2011,Jan,0,tuesday,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683
384,19-01-2012,spring,2012,Jan,0,thursday,1,1,0.19,0.190038,0.4975,0.220158,130,3162,3292
319,15-11-2011,winter,2011,nov,0,tuesday,1,2,0.53,0.507579,0.68875,0.199633,449,3746,4195
409,13-02-2012,spring,2012,feb,0,monday,1,1,0.2225,0.227913,0.41125,0.167283,94,3328,3422
203,22-07-2011,fall,2011,july,0,friday,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387
468,12-04-2012,summer,2012,april,0,thursday,1,1,0.3975,0.387604,0.46625,0.290429,663,4746,5409
354,20-12-2011,winter,2011,dec,0,tuesday,1,2,0.385833,0.396454,0.595417,0.0615708,216,3534,3750
387,22-01-2012,spring,2012,Jan,0,sunday,0,2,0.1625,0.16225,0.79625,0.199638,196,1781,1977
46,15-02-2011,spring,2011,feb,0,tuesday,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815
657,18-10-2012,winter,2012,oct,0,thursday,1,2,0.5225,0.512625,0.728333,0.236937,1008,6501,7509
190,09-07-2011,fall,2011,july,0,saturday,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336
380,15-01-2012,spring,2012,Jan,0,sunday,0,1,0.166667,0.161625,0.419167,0.251258,284,2027,2311
12,12-01-2011,spring,2011,Jan,0,wednesday,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162
89,30-03-2011,summer,2011,mar,0,wednesday,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536
520,03-06-2012,summer,2012,june,0,sunday,0,1,0.6025,0.575133,0.493333,0.184087,2494,5147,7641
522,05-06-2012,summer,2012,june,0,tuesday,1,2,0.540833,0.525892,0.613333,0.209575,968,6033,7001
148,28-05-2011,summer,2011,may,0,saturday,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758
473,17-04-2012,summer,2012,april,0,tuesday,1,1,0.608333,0.598487,0.390417,0.273629,989,5702,6691
636,27-09-2012,winter,2012,sep,0,thursday,1,2,0.65,0.607975,0.690833,0.134342,751,6642,7393
332,28-11-2011,winter,2011,nov,0,monday,1,1,0.503478,0.490122,0.743043,0.142122,253,3614,3867
274,01-10-2011,winter,2011,oct,0,saturday,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429
602,24-08-2012,fall,2012,aug,0,friday,1,2,0.7025,0.6471,0.615,0.0721458,1325,6257,7582
605,27-08-2012,fall,2012,aug,0,monday,1,1,0.703333,0.654688,0.730417,0.128733,989,5928,6917
686,16-11-2012,winter,2012,nov,0,friday,1,1,0.345,0.347204,0.524583,0.171025,484,5214,5698
174,23-06-2011,fall,2011,june,0,thursday,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790
122,02-05-2011,summer,2011,may,0,monday,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401
50,19-02-2011,spring,2011,feb,0,saturday,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635
32,01-02-2011,spring,2011,feb,0,tuesday,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360
586,08-08-2012,fall,2012,aug,0,wednesday,1,2,0.75,0.707717,0.672917,0.1107,1263,6271,7534
246,03-09-2011,fall,2011,sep,0,saturday,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484
367,02-01-2012,spring,2012,Jan,1,monday,0,1,0.273043,0.252304,0.381304,0.329665,244,1707,1951
404,08-02-2012,spring,2012,feb,0,wednesday,1,2,0.256667,0.266421,0.722917,0.133721,109,2693,2802
461,05-04-2012,summer,2012,april,0,thursday,1,1,0.435,0.431163,0.374167,0.219529,1192,5265,6457
668,29-10-2012,winter,2012,oct,0,monday,1,3,0.44,0.4394,0.88,0.3582,2,20,22
378,13-01-2012,spring,2012,Jan,0,friday,1,1,0.274167,0.249362,0.5075,0.378108,174,3040,3214
117,27-04-2011,summer,2011,april,0,wednesday,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872
450,25-03-2012,summer,2012,mar,0,sunday,0,2,0.4375,0.437488,0.880833,0.220775,1532,3464,4996
538,21-06-2012,fall,2012,june,0,thursday,1,1,0.805833,0.752542,0.567917,0.118787,778,5127,5905
532,15-06-2012,summer,2012,june,0,friday,1,1,0.639167,0.599754,0.589583,0.176617,1563,6102,7665
96,06-04-2011,summer,2011,april,0,wednesday,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808
609,31-08-2012,fall,2012,aug,0,friday,1,1,0.764167,0.6894,0.5875,0.168533,1433,5917,7350
336,02-12-2011,winter,2011,dec,0,friday,1,1,0.314167,0.331433,0.625833,0.100754,268,3672,3940
300,27-10-2011,winter,2011,oct,0,thursday,1,2,0.47,0.457046,0.812917,0.197763,240,2419,2659
528,11-06-2012,summer,2012,june,0,monday,1,2,0.720833,0.659721,0.587917,0.207713,1017,5647,6664
263,20-09-2011,fall,2011,sep,0,tuesday,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641
330,26-11-2011,winter,2011,nov,0,saturday,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068
63,04-03-2011,spring,2011,mar,0,friday,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944
395,30-01-2012,spring,2012,Jan,0,monday,1,1,0.269167,0.262625,0.400833,0.215792,126,3498,3624
652,13-10-2012,winter,2012,oct,0,saturday,0,1,0.393333,0.391396,0.494583,0.146142,2252,4857,7109
488,02-05-2012,summer,2012,may,0,wednesday,1,1,0.564167,0.537896,0.797083,0.138058,667,5502,6169
436,11-03-2012,spring,2012,mar,0,sunday,0,1,0.361739,0.35967,0.476957,0.222587,1658,3253,4911
